"","county","cases","population","race","gender","age"
"643","lycoming",0,126,"o","f","60.69"
"644","lycoming",0,123,"o","f","70+"
"645","lycoming",0,28103,"w","f","Under.40"
"646","lycoming",9,15712,"w","f","40.59"
"647","lycoming",9,5201,"w","f","60.69"
"648","lycoming",24,8671,"w","f","70+"
"649","lycoming",0,2704,"o","m","Under.40"
"650","lycoming",0,751,"o","m","40.59"
"651","lycoming",0,98,"o","m","60.69"
"652","lycoming",0,79,"o","m","70+"
"653","lycoming",1,29628,"w","m","Under.40"
"654","lycoming",8,15319,"w","m","40.59"
"655","lycoming",20,4630,"w","m","60.69"
"656","lycoming",25,5473,"w","m","70+"
"657","mckean",0,202,"o","f","Under.40"
"658","mckean",0,78,"o","f","40.59"
"659","mckean",0,26,"o","f","60.69"
"660","mckean",2,20,"o","f","70+"
"661","mckean",0,11188,"w","f","Under.40"
"662","mckean",6,5866,"w","f","40.59"
"663","mckean",3,2119,"w","f","60.69"
"664","mckean",7,3424,"w","f","70+"
"665","mckean",0,970,"o","m","Under.40"
"666","mckean",0,289,"o","m","40.59"
"667","mckean",0,23,"o","m","60.69"
"668","mckean",0,16,"o","m","70+"
"669","mckean",0,11554,"w","m","Under.40"
"670","mckean",2,6046,"w","m","40.59"
"671","mckean",4,1848,"w","m","60.69"
"672","mckean",11,2267,"w","m","70+"
"673","mercer",0,2623,"o","f","Under.40"
"674","mercer",0,899,"o","f","40.59"
"675","mercer",1,292,"o","f","60.69"
"676","mercer",0,308,"o","f","70+"
"677","mercer",0,27149,"w","f","Under.40"
"678","mercer",6,15355,"w","f","40.59"
"679","mercer",11,5429,"w","f","60.69"
"680","mercer",22,9715,"w","f","70+"
"681","mercer",0,2813,"o","m","Under.40"
"682","mercer",1,905,"o","m","40.59"
"683","mercer",1,213,"o","m","60.69"
"684","mercer",1,209,"o","m","70+"
"685","mercer",0,28257,"w","m","Under.40"
"686","mercer",8,15125,"w","m","40.59"
"687","mercer",21,4741,"w","m","60.69"
"688","mercer",26,6260,"w","m","70+"
"689","mifflin",0,254,"o","f","Under.40"
"690","mifflin",0,52,"o","f","40.59"
"691","mifflin",0,15,"o","f","60.69"
"692","mifflin",0,12,"o","f","70+"
"693","mifflin",1,11702,"w","f","Under.40"
"694","mifflin",10,6151,"w","f","40.59"
"695","mifflin",4,2279,"w","f","60.69"
"696","mifflin",12,3601,"w","f","70+"
"697","mifflin",0,262,"o","m","Under.40"
"698","mifflin",0,69,"o","m","40.59"
"699","mifflin",0,8,"o","m","60.69"
"700","mifflin",0,11,"o","m","70+"
"701","mifflin",0,11882,"w","m","Under.40"
"702","mifflin",3,5969,"w","m","40.59"
"703","mifflin",6,2050,"w","m","60.69"
"704","mifflin",9,2169,"w","m","70+"
"705","monroe",0,5668,"o","f","Under.40"
"706","monroe",0,2046,"o","f","40.59"
"707","monroe",0,323,"o","f","60.69"
"708","monroe",1,259,"o","f","70+"
"709","monroe",0,32500,"w","f","Under.40"
"710","monroe",13,17679,"w","f","40.59"
"711","monroe",10,5185,"w","f","60.69"
"712","monroe",18,6537,"w","f","70+"
"713","monroe",0,5522,"o","m","Under.40"
"714","monroe",1,2019,"o","m","40.59"
"715","monroe",2,336,"o","m","60.69"
"716","monroe",0,172,"o","m","70+"
"717","monroe",1,32710,"w","m","Under.40"
"718","monroe",11,17796,"w","m","40.59"
"719","monroe",19,5028,"w","m","60.69"
"720","monroe",34,4907,"w","m","70+"
"721","montgomery",0,32576,"o","f","Under.40"
"722","montgomery",7,12737,"o","f","40.59"
"723","montgomery",10,2849,"o","f","60.69"
"724","montgomery",10,2888,"o","f","70+"
"725","montgomery",1,165368,"w","f","Under.40"
"726","montgomery",37,94388,"w","f","40.59"
"727","montgomery",58,28071,"w","f","60.69"
"728","montgomery",160,48666,"w","f","70+"
"729","montgomery",0,33680,"o","m","Under.40"
"730","montgomery",2,12440,"o","m","40.59"
"731","montgomery",10,2753,"o","m","60.69"
"732","montgomery",10,1664,"o","m","70+"
"733","montgomery",2,167021,"w","m","Under.40"
"734","montgomery",43,90072,"w","m","40.59"
"735","montgomery",68,24125,"w","m","60.69"
"736","montgomery",181,30799,"w","m","70+"
"737","montour",0,216,"o","f","Under.40"
"738","montour",0,52,"o","f","40.59"
"739","montour",0,8,"o","f","60.69"
"740","montour",0,6,"o","f","70+"
"741","montour",0,4417,"w","f","Under.40"
"742","montour",0,2512,"w","f","40.59"
"743","montour",1,861,"w","f","60.69"
"744","montour",4,1503,"w","f","70+"
"745","montour",0,252,"o","m","Under.40"
"746","montour",0,56,"o","m","40.59"
"747","montour",0,13,"o","m","60.69"
"748","montour",0,5,"o","m","70+"
"749","montour",0,4314,"w","m","Under.40"
"750","montour",0,2444,"w","m","40.59"
"751","montour",2,752,"w","m","60.69"
"752","montour",1,825,"w","m","70+"
"753","northampton",0,8455,"o","f","Under.40"
"754","northampton",1,2376,"o","f","40.59"
"755","northampton",0,473,"o","f","60.69"
"756","northampton",1,470,"o","f","70+"
"757","northampton",0,60412,"w","f","Under.40"
"758","northampton",23,35347,"w","f","40.59"
"759","northampton",25,10555,"w","f","60.69"
"760","northampton",52,19017,"w","f","70+"
"761","northampton",0,8688,"o","m","Under.40"
"762","northampton",0,2277,"o","m","40.59"
"763","northampton",1,418,"o","m","60.69"
"764","northampton",1,270,"o","m","70+"
"765","northampton",1,62522,"w","m","Under.40"
"766","northampton",25,34337,"w","m","40.59"
"767","northampton",26,9365,"w","m","60.69"
"768","northampton",80,12084,"w","m","70+"
"769","northumberland",0,572,"o","f","Under.40"
"770","northumberland",0,169,"o","f","40.59"
"771","northumberland",0,35,"o","f","60.69"
"772","northumberland",0,49,"o","f","70+"
"773","northumberland",0,21371,"w","f","Under.40"
"774","northumberland",6,12626,"w","f","40.59"
"775","northumberland",9,4628,"w","f","60.69"
"776","northumberland",16,8731,"w","f","70+"
"777","northumberland",0,1505,"o","m","Under.40"
"778","northumberland",0,374,"o","m","40.59"
"779","northumberland",0,30,"o","m","60.69"
"780","northumberland",0,19,"o","m","70+"
"781","northumberland",1,22689,"w","m","Under.40"
"782","northumberland",6,12617,"w","m","40.59"
"783","northumberland",16,4151,"w","m","60.69"
"784","northumberland",29,4990,"w","m","70+"
"785","perry",0,196,"o","f","Under.40"
"786","perry",0,63,"o","f","40.59"
"787","perry",0,12,"o","f","60.69"
"788","perry",0,8,"o","f","70+"
"789","perry",0,11516,"w","f","Under.40"
"790","perry",4,6304,"w","f","40.59"
"791","perry",6,1697,"w","f","60.69"
"792","perry",7,2186,"w","f","70+"
"793","perry",0,279,"o","m","Under.40"
"794","perry",0,65,"o","m","40.59"
"795","perry",0,10,"o","m","60.69"
"796","perry",0,5,"o","m","70+"
"797","perry",0,11613,"w","m","Under.40"
"798","perry",5,6445,"w","m","40.59"
"799","perry",2,1668,"w","m","60.69"
"800","perry",7,1535,"w","m","70+"
"801","philadelphia",2,278613,"o","f","Under.40"
"802","philadelphia",74,106060,"o","f","40.59"
"803","philadelphia",80,31213,"o","f","60.69"
"804","philadelphia",130,37060,"o","f","70+"
"805","philadelphia",2,173685,"w","f","Under.40"
"806","philadelphia",79,87745,"w","f","40.59"
"807","philadelphia",86,32477,"w","f","60.69"
"808","philadelphia",235,65590,"w","f","70+"
"809","philadelphia",2,257128,"o","m","Under.40"
"810","philadelphia",77,82346,"o","m","40.59"
"811","philadelphia",81,21828,"o","m","60.69"
"812","philadelphia",139,20035,"o","m","70+"
"813","philadelphia",2,177587,"w","m","Under.40"
"814","philadelphia",82,82728,"w","m","40.59"
"815","philadelphia",108,26540,"w","m","60.69"
"816","philadelphia",236,36915,"w","m","70+"
"817","pike",0,982,"o","f","Under.40"
"818","pike",0,478,"o","f","40.59"
"819","pike",0,78,"o","f","60.69"
"820","pike",0,68,"o","f","70+"
"821","pike",0,10728,"w","f","Under.40"
"822","pike",6,6216,"w","f","40.59"
"823","pike",5,2263,"w","f","60.69"
"824","pike",9,2415,"w","f","70+"
"825","pike",0,993,"o","m","Under.40"
"826","pike",1,460,"o","m","40.59"
"827","pike",0,81,"o","m","60.69"
"828","pike",1,53,"o","m","70+"
"829","pike",0,10807,"w","m","Under.40"
"830","pike",1,6226,"w","m","40.59"
"831","pike",6,2245,"w","m","60.69"
"832","pike",6,2209,"w","m","70+"
"833","potter",0,118,"o","f","Under.40"
"834","potter",0,40,"o","f","40.59"
"835","potter",0,10,"o","f","60.69"
"836","potter",1,12,"o","f","70+"
"837","potter",0,4469,"w","f","Under.40"
"838","potter",3,2373,"w","f","40.59"
"839","potter",2,848,"w","f","60.69"
"840","potter",3,1290,"w","f","70+"
"841","potter",0,108,"o","m","Under.40"
"842","potter",0,39,"o","m","40.59"
"843","potter",1,17,"o","m","60.69"
"844","potter",2,7,"o","m","70+"
"845","potter",0,4598,"w","m","Under.40"
"846","potter",5,2433,"w","m","40.59"
"847","potter",3,830,"w","m","60.69"
"848","potter",2,888,"w","m","70+"
"849","schuylkill",0,827,"o","f","Under.40"
"850","schuylkill",0,253,"o","f","40.59"
"851","schuylkill",0,49,"o","f","60.69"
"852","schuylkill",0,71,"o","f","70+"
"853","schuylkill",0,33246,"w","f","Under.40"
"854","schuylkill",12,19492,"w","f","40.59"
"855","schuylkill",11,7247,"w","f","60.69"
"856","schuylkill",32,14333,"w","f","70+"
"857","schuylkill",0,2945,"o","m","Under.40"
"858","schuylkill",0,825,"o","m","40.59"
"859","schuylkill",0,68,"o","m","60.69"
"860","schuylkill",1,49,"o","m","70+"
"861","schuylkill",0,35903,"w","m","Under.40"
"862","schuylkill",14,20190,"w","m","40.59"
"863","schuylkill",20,6385,"w","m","60.69"
"864","schuylkill",46,8453,"w","m","70+"
"865","snyder",0,265,"o","f","Under.40"
"866","snyder",0,60,"o","f","40.59"
"867","snyder",0,19,"o","f","60.69"
"868","snyder",0,9,"o","f","70+"
"869","snyder",0,10015,"w","f","Under.40"
"870","snyder",2,4928,"w","f","40.59"
"871","snyder",5,1612,"w","f","60.69"
"872","snyder",3,2286,"w","f","70+"
"873","snyder",0,291,"o","m","Under.40"
"874","snyder",0,114,"o","m","40.59"
"875","snyder",0,8,"o","m","60.69"
"876","snyder",0,12,"o","m","70+"
"877","snyder",0,10058,"w","m","Under.40"
"878","snyder",2,4892,"w","m","40.59"
"879","snyder",3,1455,"w","m","60.69"
"880","snyder",13,1522,"w","m","70+"
"881","somerset",0,225,"o","f","Under.40"
"882","somerset",0,77,"o","f","40.59"
"883","somerset",0,24,"o","f","60.69"
"884","somerset",0,20,"o","f","70+"
"885","somerset",0,18583,"w","f","Under.40"
"886","somerset",3,10632,"w","f","40.59"
"887","somerset",4,3860,"w","f","60.69"
"888","somerset",13,6635,"w","f","70+"
"889","somerset",0,1333,"o","m","Under.40"
"890","somerset",0,337,"o","m","40.59"
"891","somerset",0,44,"o","m","60.69"
"892","somerset",1,25,"o","m","70+"
"893","somerset",1,19554,"w","m","Under.40"
"894","somerset",6,11040,"w","m","40.59"
"895","somerset",9,3394,"w","m","60.69"
"896","somerset",17,4240,"w","m","70+"
"897","sullivan",0,91,"o","f","Under.40"
"898","sullivan",0,13,"o","f","40.59"
"899","sullivan",0,4,"o","f","60.69"
"900","sullivan",0,3,"o","f","70+"
"901","sullivan",0,1318,"w","f","Under.40"
"902","sullivan",0,855,"w","f","40.59"
"903","sullivan",0,383,"w","f","60.69"
"904","sullivan",2,577,"w","f","70+"
"905","sullivan",0,162,"o","m","Under.40"
"906","sullivan",0,6,"o","m","40.59"
"907","sullivan",0,5,"o","m","60.69"
"908","sullivan",0,6,"o","m","70+"
"909","sullivan",0,1388,"w","m","Under.40"
"910","sullivan",0,876,"w","m","40.59"
"911","sullivan",0,395,"w","m","60.69"
"912","sullivan",1,474,"w","m","70+"
"913","susquehanna",0,175,"o","f","Under.40"
"914","susquehanna",0,89,"o","f","40.59"
"915","susquehanna",0,15,"o","f","60.69"
"916","susquehanna",0,21,"o","f","70+"
"917","susquehanna",0,10365,"w","f","Under.40"
"918","susquehanna",8,5883,"w","f","40.59"
"919","susquehanna",2,1920,"w","f","60.69"
"920","susquehanna",6,2767,"w","f","70+"
"921","susquehanna",0,199,"o","m","Under.40"
"922","susquehanna",0,87,"o","m","40.59"
"923","susquehanna",0,18,"o","m","60.69"
"924","susquehanna",0,13,"o","m","70+"
"925","susquehanna",2,10742,"w","m","Under.40"
"926","susquehanna",6,6029,"w","m","40.59"
"927","susquehanna",3,1955,"w","m","60.69"
"928","susquehanna",7,1960,"w","m","70+"
"929","tioga",0,279,"o","f","Under.40"
"930","tioga",0,83,"o","f","40.59"
"931","tioga",0,19,"o","f","60.69"
"932","tioga",0,14,"o","f","70+"
"933","tioga",1,10556,"w","f","Under.40"
"934","tioga",1,5491,"w","f","40.59"
"935","tioga",1,1956,"w","f","60.69"
"936","tioga",7,2722,"w","f","70+"
"937","tioga",0,293,"o","m","Under.40"
"938","tioga",0,66,"o","m","40.59"
"939","tioga",0,21,"o","m","60.69"
"940","tioga",0,9,"o","m","70+"
"941","tioga",0,10513,"w","m","Under.40"
"942","tioga",2,5377,"w","m","40.59"
"943","tioga",6,1977,"w","m","60.69"
"944","tioga",10,1997,"w","m","70+"
"945","union",0,477,"o","f","Under.40"
"946","union",0,75,"o","f","40.59"
"947","union",0,23,"o","f","60.69"
"948","union",0,14,"o","f","70+"
"949","union",0,9382,"w","f","Under.40"
"950","union",3,4570,"w","f","40.59"
"951","union",0,1488,"w","f","60.69"
"952","union",6,2559,"w","f","70+"
"953","union",0,2630,"o","m","Under.40"
"954","union",2,836,"o","m","40.59"
"955","union",0,56,"o","m","60.69"
"956","union",0,17,"o","m","70+"
"957","union",1,11170,"w","m","Under.40"
"958","union",3,5267,"w","m","40.59"
"959","union",4,1464,"w","m","60.69"
"960","union",9,1596,"w","m","70+"
"961","venango",0,412,"o","f","Under.40"
"962","venango",0,131,"o","f","40.59"
"963","venango",0,39,"o","f","60.69"
"964","venango",0,24,"o","f","70+"
"965","venango",0,13629,"w","f","Under.40"
"966","venango",1,8152,"w","f","40.59"
"967","venango",7,2851,"w","f","60.69"
"968","venango",15,4224,"w","f","70+"
"969","venango",0,575,"o","m","Under.40"
"970","venango",0,121,"o","m","40.59"
"971","venango",1,33,"o","m","60.69"
"972","venango",1,22,"o","m","70+"
"973","venango",0,13992,"w","m","Under.40"
"974","venango",3,8116,"w","m","40.59"
"975","venango",18,2459,"w","m","60.69"
"976","venango",24,2785,"w","m","70+"
"977","warren",0,165,"o","f","Under.40"
"978","warren",0,77,"o","f","40.59"
"979","warren",0,13,"o","f","60.69"
"980","warren",0,15,"o","f","70+"
"981","warren",0,10397,"w","f","Under.40"
"982","warren",4,6362,"w","f","40.59"
"983","warren",1,2150,"w","f","60.69"
"984","warren",8,3178,"w","f","70+"
"985","warren",0,185,"o","m","Under.40"
"986","warren",0,89,"o","m","40.59"
"987","warren",0,21,"o","m","60.69"
"988","warren",0,12,"o","m","70+"
"989","warren",0,10805,"w","m","Under.40"
"990","warren",3,6278,"w","m","40.59"
"991","warren",6,1983,"w","m","60.69"
"992","warren",13,2133,"w","m","70+"
"993","washington",0,2992,"o","f","Under.40"
"994","washington",1,1060,"o","f","40.59"
"995","washington",0,346,"o","f","60.69"
"996","washington",1,510,"o","f","70+"
"997","washington",0,46096,"w","f","Under.40"
"998","washington",13,28549,"w","f","40.59"
"999","washington",19,9454,"w","f","60.69"
"1000","washington",51,16444,"w","f","70+"
"1001","washington",0,3011,"o","m","Under.40"
"1002","washington",1,1064,"o","m","40.59"
"1003","washington",1,289,"o","m","60.69"
"1004","washington",1,328,"o","m","70+"
"1005","washington",0,46753,"w","m","Under.40"
"1006","washington",27,27667,"w","m","40.59"
"1007","washington",22,7995,"w","m","60.69"
"1008","washington",57,10339,"w","m","70+"
"1009","wayne",0,300,"o","f","Under.40"
"1010","wayne",0,149,"o","f","40.59"
"1011","wayne",0,37,"o","f","60.69"
"1012","wayne",0,29,"o","f","70+"
"1013","wayne",0,10905,"w","f","Under.40"
"1014","wayne",4,6444,"w","f","40.59"
"1015","wayne",10,2476,"w","f","60.69"
"1016","wayne",5,3440,"w","f","70+"
"1017","wayne",0,627,"o","m","Under.40"
"1018","wayne",1,341,"o","m","40.59"
"1019","wayne",0,52,"o","m","60.69"
"1020","wayne",1,27,"o","m","70+"
"1021","wayne",1,11422,"w","m","Under.40"
"1022","wayne",7,6693,"w","m","40.59"
"1023","wayne",6,2304,"w","m","60.69"
"1024","wayne",10,2476,"w","m","70+"
"1025","westmoreland",0,3854,"o","f","Under.40"
"1026","westmoreland",2,1463,"o","f","40.59"
"1027","westmoreland",0,353,"o","f","60.69"
"1028","westmoreland",1,461,"o","f","70+"
"1029","westmoreland",1,83250,"w","f","Under.40"
"1030","westmoreland",25,53392,"w","f","40.59"
"1031","westmoreland",29,18104,"w","f","60.69"
"1032","westmoreland",101,30681,"w","f","70+"
"1033","westmoreland",0,4405,"o","m","Under.40"
"1034","westmoreland",4,1545,"o","m","40.59"
"1035","westmoreland",2,311,"o","m","60.69"
"1036","westmoreland",4,276,"o","m","70+"
"1037","westmoreland",1,85209,"w","m","Under.40"
"1038","westmoreland",31,51605,"w","m","40.59"
"1039","westmoreland",52,15349,"w","m","60.69"
"1040","westmoreland",119,19735,"w","m","70+"
"1041","wyoming",0,157,"o","f","Under.40"
"1042","wyoming",0,50,"o","f","40.59"
"1043","wyoming",0,6,"o","f","60.69"
"1044","wyoming",0,7,"o","f","70+"
"1045","wyoming",0,7198,"w","f","Under.40"
"1046","wyoming",0,3953,"w","f","40.59"
"1047","wyoming",1,1084,"w","f","60.69"
"1048","wyoming",3,1686,"w","f","70+"
"1049","wyoming",0,207,"o","m","Under.40"
"1050","wyoming",0,49,"o","m","40.59"
"1051","wyoming",0,5,"o","m","60.69"
"1052","wyoming",0,1,"o","m","70+"
"1053","wyoming",0,7465,"w","m","Under.40"
"1054","wyoming",2,4072,"w","m","40.59"
"1055","wyoming",4,1115,"w","m","60.69"
"1056","wyoming",4,1025,"w","m","70+"
"1057","york",0,9875,"o","f","Under.40"
"1058","york",2,2803,"o","f","40.59"
"1059","york",4,567,"o","f","60.69"
"1060","york",1,511,"o","f","70+"
"1061","york",2,91628,"w","f","Under.40"
"1062","york",19,51713,"w","f","40.59"
"1063","york",31,14891,"w","f","60.69"
"1064","york",59,22096,"w","f","70+"
"1065","york",0,10234,"o","m","Under.40"
"1066","york",5,2826,"o","m","40.59"
"1067","york",1,513,"o","m","60.69"
"1068","york",1,319,"o","m","70+"
"1069","york",0,93689,"w","m","Under.40"
"1070","york",30,51757,"w","m","40.59"
"1071","york",40,13863,"w","m","60.69"
"1072","york",84,14466,"w","m","70+"
